id,state,created_at,attempt_id,attempt_number,attempt_state,leased_at,started_at,finished_at,scheduling_latency_seconds,runtime_seconds
99b16c68-0efb-4a07-b88d-03e93d9710f5,SUCCEEDED,2026-09-14 03:24:13.834097+00,bad03611-21f7-4c2b-bb4d-6932b6bc1b40,1,SUCCEEDED,2026-09-14 03:24:15.242956+00,2026-09-14 03:24:15.246118+00,2026-09-14 03:24:15.49595+00,1.408859,0.249832
572c2c63-1f8a-429e-89fa-27a905fd073b,SUCCEEDED,2026-09-14 03:24:13.834632+00,a30b4a6b-6b0b-49d6-b248-1ff464a43a9b,1,SUCCEEDED,2026-09-14 03:24:15.245036+00,2026-09-14 03:24:15.247267+00,2026-09-14 03:24:15.495002+00,1.410404,0.247735
c6437c42-0c04-4712-abeb-a2380523d833,SUCCEEDED,2026-09-14 03:24:13.835089+00,9879a03e-37f3-45d5-b2ea-008710e143af,1,SUCCEEDED,2026-09-14 03:24:15.299907+00,2026-09-14 03:24:15.304776+00,2026-09-14 03:24:15.546278+00,1.464818,0.241502
9ffdfcac-8c14-4f46-bd91-fadca12f1ea0,SUCCEEDED,2026-09-14 03:24:13.835463+00,201405c3-1382-4489-a6bb-204266a78c2d,1,SUCCEEDED,2026-09-14 03:24:15.303051+00,2026-09-14 03:24:15.306281+00,2026-09-14 03:24:15.54732+00,1.467588,0.241039
46d6b858-9d31-4a3a-9e29-35319d426a69,SUCCEEDED,2026-09-14 03:24:13.835823+00,e49e8ac2-c594-400e-a816-e65990897fb6,1,SUCCEEDED,2026-09-14 03:24:15.365799+00,2026-09-14 03:24:15.37008+00,2026-09-14 03:24:15.587819+00,1.529976,0.217739
180b3641-2a60-489f-b298-8cfc1426e41f,SUCCEEDED,2026-09-14 03:24:13.836238+00,69f25fd5-6095-4216-924e-b6e81f61c12e,1,SUCCEEDED,2026-09-14 03:24:15.368458+00,2026-09-14 03:24:15.371471+00,2026-09-14 03:24:15.585611+00,1.532220,0.214140
30840c6e-146c-4f95-9d49-48a000a4cdfa,SUCCEEDED,2026-09-14 03:24:13.836496+00,884919d1-263a-4e0c-86ea-dee36de0451d,1,SUCCEEDED,2026-09-14 03:24:15.424722+00,2026-09-14 03:24:15.426665+00,2026-09-14 03:24:15.63096+00,1.588226,0.204295
b1f593cf-3ddf-4d9a-86d6-a4557de6b19f,SUCCEEDED,2026-09-14 03:24:13.83677+00,e1f92908-1d2d-4a50-a7f4-ca90e78919f8,1,SUCCEEDED,2026-09-14 03:24:15.427656+00,2026-09-14 03:24:15.431483+00,2026-09-14 03:24:15.631819+00,1.590886,0.200336
c1bb8ef2-7dde-4b70-a68f-9c08c33296c6,SUCCEEDED,2026-09-14 03:24:13.837174+00,d5580b55-f366-4a05-9d7f-74daa039032d,1,SUCCEEDED,2026-09-14 03:24:15.549947+00,2026-09-14 03:24:15.552296+00,2026-09-14 03:24:15.665258+00,1.712773,0.112962
57aaa0c7-1bce-4529-abc3-af2f75130874,SUCCEEDED,2026-09-14 03:24:13.837488+00,30a52c71-e334-495c-976f-916bee04ce9d,1,SUCCEEDED,2026-09-14 03:24:15.55141+00,2026-09-14 03:24:15.553057+00,2026-09-14 03:24:15.666148+00,1.713922,0.113091
